,source,target,normalized_projection_density_source_average
63,CP,MPO,0.0061307362868793245
64,CP,ORB,0.013776613147198798
65,CP,P,0.0018145743655310243
66,CP,PL,0.022838313128949184
67,CP,PVH,0.010777542210780797
68,CP,SCH,0.010151010986764004
69,CP,SNc,0.03442250315215068
70,CP,SNr,0.0629699502232374
71,CP,SO,0.01545026743323705
72,CP,TH,0.004357209724839825
73,CP,VISp,0.003031739441102742
74,CP,VMH,0.0020222004144380933
75,DMH,ARH,0.004776952388354159
76,DMH,CB,6.843818634044518e-06
77,DMH,CP,3.760687789405591e-05
78,DMH,GPe,6.114624654465299e-05
79,DMH,GPi,9.576863459928719e-05
80,DMH,HIP,2.698318400500904e-05
81,DMH,ILA,0.0001229732454309164
82,DMH,LH,0.0003975894959806509
83,DMH,LPO,0.0009887394889808619
84,DMH,LZ,0.0012169368600000773
85,DMH,MBO,0.0012634599469355731
86,DMH,MH,0.00010072647847800374
87,DMH,MOB,1.2736315837684461e-05
88,DMH,MPO,0.002170807818085561
89,DMH,ORB,6.820277706580478e-05
90,DMH,P,0.00010125529348769636
91,DMH,PL,9.270599692681703e-05
92,DMH,PVH,0.0036097657839110953
93,DMH,SCH,0.0017831789395501773
94,DMH,SNc,0.00024316398853273694
95,DMH,SNr,5.8122161655850595e-05
96,DMH,SO,0.001824898599794847
97,DMH,TH,0.0002121600613658781
98,DMH,VISp,1.2175786501606279e-05
99,DMH,VMH,0.0026396371154435733
100,GPe,ARH,0.0007419871675094919
101,GPe,CB,1.7496772922928724e-05
102,GPe,CP,0.0017850122591650613
103,GPe,DMH,0.0005259624867433622
104,GPe,GPi,0.008495285238507028
105,GPe,HIP,0.00012315838797507107
106,GPe,ILA,0.0016081927748188365
107,GPe,LH,0.0014476963411465126
108,GPe,LPO,0.0017527176974487986
109,GPe,LZ,0.0018345312678127242
110,GPe,MBO,0.0004319211473230339
111,GPe,MH,0.00013251992579916178
112,GPe,MOB,0.0008130874120349234
113,GPe,MPO,0.0008393926395242524
114,GPe,ORB,0.003214418728489913
115,GPe,P,0.00023842717018290963
116,GPe,PL,0.005108054855850754
117,GPe,PVH,0.0010382060525386222
118,GPe,SCH,0.0007419829732307141
119,GPe,SNc,0.0041140922169165105
120,GPe,SNr,0.004896246694273314
121,GPe,SO,0.0018645007626164444
122,GPe,TH,0.0017631520613356742
123,GPe,VISp,0.0007938457049748622
124,GPe,VMH,0.0004442857276385439
125,GPi,ARH,6.487652658745858e-05
126,GPi,CB,1.115792691089186e-05
127,GPi,CP,0.00034675511200559265
128,GPi,DMH,0.0001526851736183613
129,GPi,GPe,0.00258505387312221
130,GPi,HIP,1.972846158730162e-05
131,GPi,ILA,0.00029062010386978377
132,GPi,LH,0.0021873234078805884
133,GPi,LPO,0.00040227183053110775
134,GPi,LZ,0.001157811001744519
135,GPi,MBO,0.0001287600752587865
136,GPi,MH,8.248292249886994e-05
137,GPi,MOB,7.200488610041505e-05
138,GPi,MPO,0.0001682300376990283
139,GPi,ORB,0.0009773567555079522
140,GPi,P,0.0001455567035206697
141,GPi,PL,0.001470814113827247
142,GPi,PVH,0.0001624381678014419
143,GPi,SCH,3.0191179109085852e-05
144,GPi,SNc,0.0016042344914687127
145,GPi,SNr,0.0015516695236281834
146,GPi,SO,0.0003284131418616846
147,GPi,TH,0.0009825462044075136
148,GPi,VISp,0.0002496239493070007
149,GPi,VMH,0.0001263313318608155
150,HIP,ARH,0.004099412208856418
151,HIP,CB,0.0006537584628157766
152,HIP,CP,0.006854644398039883
153,HIP,DMH,0.006494230724948078
154,HIP,GPe,0.0029218334430264575
155,HIP,GPi,0.0012890024445502768
156,HIP,ILA,0.011295345532930122
157,HIP,LH,0.03433728082867895
158,HIP,LPO,0.008511087866121023
159,HIP,LZ,0.00971365345357367
160,HIP,MBO,0.02643020402403064
161,HIP,MH,0.008422142144541529
162,HIP,MOB,0.0005782795670436946
163,HIP,MPO,0.009102679566011422
164,HIP,ORB,0.0034310544165142625
